source,clip,video,seconds,system,condition,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,atten20_frac,mean_atten_db,gate_mean,burst_frac,limiter_frac
mad_communication,mad:training/317_1,ZxTJVpUlwZc,6.0000,gtcrn_pretrained,mono,1.9633,3.7243,1.6947,0.8445,40.0591,nan,nan,nan
mad_communication,mad:training/317_1,ZxTJVpUlwZc,6.0000,r7,ref_dup,2.5350,3.3950,1.9732,1.0000,45.5056,0.8167,0.0957,0.0106
mad_communication,mad:training/317_1,ZxTJVpUlwZc,6.0000,r7,ref_zero,1.9256,3.0685,1.6301,0.0798,9.5029,0.0000,0.0000,0.0000
mad_communication,mad:training/317_1,ZxTJVpUlwZc,6.0000,raw,mono,1.1936,1.1470,1.1005,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/320_3,VZixjxo4OOI,3.0000,gtcrn_pretrained,mono,1.9424,3.6771,1.5522,0.9867,43.4021,nan,nan,nan
mad_communication,mad:training/320_3,VZixjxo4OOI,3.0000,r7,ref_dup,2.3493,3.2192,1.8478,1.0000,43.2736,0.8783,0.0635,0.0000
mad_communication,mad:training/320_3,VZixjxo4OOI,3.0000,r7,ref_zero,1.2312,1.9166,1.2261,0.1800,10.8452,0.0000,0.0000,0.0000
mad_communication,mad:training/320_3,VZixjxo4OOI,3.0000,raw,mono,1.1648,1.1567,1.0721,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/322_5,dVOVf1TaHYk,10.0000,gtcrn_pretrained,mono,3.0600,3.8535,2.7492,0.0962,5.2467,nan,nan,nan
mad_communication,mad:training/322_5,dVOVf1TaHYk,10.0000,r7,ref_dup,2.1757,3.7752,1.7563,1.0000,39.9403,0.6084,0.2109,0.0000
mad_communication,mad:training/322_5,dVOVf1TaHYk,10.0000,r7,ref_zero,3.1151,3.4401,2.6706,0.0064,2.1228,0.0000,0.0000,0.0000
mad_communication,mad:training/322_5,dVOVf1TaHYk,10.0000,raw,mono,3.4750,2.8656,2.6159,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/328_10,MSXFauKSLXo,4.0000,gtcrn_pretrained,mono,3.3766,3.9386,3.0284,0.0609,4.8158,nan,nan,nan
mad_communication,mad:training/328_10,MSXFauKSLXo,4.0000,r7,ref_dup,2.5852,3.8436,1.9884,1.0000,38.6705,0.4977,0.2948,0.0159
mad_communication,mad:training/328_10,MSXFauKSLXo,4.0000,r7,ref_zero,3.4145,3.6311,2.8744,0.0000,1.9637,0.0000,0.0000,0.0000
