id,bucket,variant,snr_out,stoi,pesq_wb
0009,changing_-10,as trained,4.3333234786987305,0.6955454900989757,1.2265208959579468
0009,changing_-10,n_hat zeroed,4.321011543273926,0.6943423946011358,1.2324810028076172
0009,changing_-10,ref zeroed,-10.77598476409912,0.5050800178099245,1.0668585300445557
0009,changing_-10,coh zeroed,4.207917213439941,0.6938117557878837,1.2198796272277832
0010,changing_-10,as trained,5.182850360870361,0.880687119807915,1.491473913192749
0010,changing_-10,n_hat zeroed,4.00044059753418,0.8744072106824461,1.3347336053848269
0010,changing_-10,ref zeroed,6.464035034179688,0.8478395129201254,1.4845598936080933
0010,changing_-10,coh zeroed,7.302651882171631,0.8787398674228262,2.36252760887146
0011,changing_-10,as trained,10.27219295501709,0.8844117094688171,1.641412377357483
0011,changing_-10,n_hat zeroed,10.136666297912598,0.8842919564831239,1.6178529262542725
0011,changing_-10,ref zeroed,-14.42595100402832,0.7322972037478466,1.2557427883148191
0011,changing_-10,coh zeroed,10.274250030517578,0.8737924046181316,1.6156142950057983
0012,changing_-10,as trained,13.606563568115234,0.9599343286045794,3.06837010383606
0012,changing_-10,n_hat zeroed,13.430900573730469,0.959593777038846,3.145086765289306
0012,changing_-10,ref zeroed,8.738018035888672,0.9219213437261016,2.071604013442993
0012,changing_-10,coh zeroed,13.48768424987793,0.9572884514720564,2.913337230682373
0013,changing_-10,as trained,15.39474868774414,0.8266840052522293,2.2176225185394287
0013,changing_-10,n_hat zeroed,15.394685745239258,0.8266817415687937,2.2176003456115723
0013,changing_-10,ref zeroed,3.291604518890381,0.6452939003045753,1.1727018356323242
0013,changing_-10,coh zeroed,16.004364013671875,0.8277340319160434,2.227442502975464
0014,changing_-10,as trained,13.108705520629885,0.9642478291746458,2.422427177429199
0014,changing_-10,n_hat zeroed,13.674298286437988,0.967242108652008,2.499469041824341
0014,changing_-10,ref zeroed,3.9686119556427,0.8444487630744136,1.169220209121704
0014,changing_-10,coh zeroed,13.03432273864746,0.9626729387954196,2.475660562515259
0015,changing_-10,as trained,9.946359634399414,0.9018352797696848,1.3015867471694946
0015,changing_-10,n_hat zeroed,9.892694473266602,0.8976550360070218,1.2882310152053833
0015,changing_-10,ref zeroed,0.3399906754493713,0.7004087096945593,1.0572224855422974
0015,changing_-10,coh zeroed,9.21821403503418,0.8844036794809238,1.1898839473724363
0016,changing_-10,as trained,13.462989807128906,0.9613851923586336,1.8670246601104736
0016,changing_-10,n_hat zeroed,13.03282642364502,0.9595371770324682,1.8536717891693115
0016,changing_-10,ref zeroed,-0.0842171907424926,0.8178285278140011,1.617449164390564
0016,changing_-10,coh zeroed,13.775806427001951,0.9638506234306372,1.878075122833252
0017,changing_-10,as trained,9.417157173156738,0.8676624810777425,1.521732211112976
0017,changing_-10,n_hat zeroed,9.45278549194336,0.8681640668555651,1.5207704305648804
0017,changing_-10,ref zeroed,2.5753438472747803,0.6749517253019678,1.062417984008789
0017,changing_-10,coh zeroed,9.375003814697266,0.8676780748733904,1.4589102268218994
0018,changing_-10,as trained,8.584541320800781,0.7252495443972905,1.3330767154693604
0018,changing_-10,n_hat zeroed,8.591897964477539,0.726771178530986,1.3340167999267578
0018,changing_-10,ref zeroed,3.3993258476257324,0.4780349771882794,1.0567177534103394
0018,changing_-10,coh zeroed,8.40330696105957,0.7279498771768895,1.3256638050079346
0019,changing_-10,as trained,7.7464728355407715,0.8078871424900013,1.592501878738403
0019,changing_-10,n_hat zeroed,7.718422412872314,0.8075024174117719,1.5971262454986572
0019,changing_-10,ref zeroed,-11.356796264648438,0.5970500716505757,1.226551175117493
0019,changing_-10,coh zeroed,7.680682182312012,0.8018007785120171,1.567673921585083
