i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
180,5150:180,windy_ridge,physical,pos,yes,physical,-14.775932892393122,4.705971717834473,False,16038,9398,0.8631980419158936
181,5150:181,helicopter,physical,pos,yes,physical,-9.469521485345748,-7.38936710357666,True,497,62513,0.5952635407447815
182,5150:182,windy_ridge,physical,pos,yes,physical,-9.78171439657163,6.771218776702881,False,11111,4763,0.814565122127533
183,5150:183,apc,low_ild,pos,no,-6..+3,-1.9731061467485844,-10.416487693786621,True,1654,36805,0.21437591314315796
184,5150:184,windy_ridge,physical,pos,yes,physical,-13.77614862356528,7.405555248260498,False,17586,4273,0.8997034430503845
185,5150:185,apc,physical,pos,no,physical,-9.205001069485636,-13.595151901245117,True,433,58899,0.5333036780357361
186,5150:186,windy_ridge,physical,pos,yes,physical,-13.183595013715617,9.719186782836914,False,17908,3631,0.8825425505638123
187,5150:187,apc,physical,neg,no,physical,-13.787594179282308,-24.2342586517334,True,59,83701,0.3228408396244049
188,5150:188,patrol,physical,pos,yes,physical,-14.912993549091496,31.712013244628906,False,16851,1594,0.9519217610359192
189,5150:189,artillery,mono,neg,no,-6..+3,0.0,27.19740104675293,False,14771,2381,0.5000001192092896
190,5150:190,apc,physical,pos,no,physical,-13.29246275860665,-17.54539680480957,True,138,90867,0.5035210847854614
191,5150:191,apc,mono,pos,no,-6..+3,0.0,-18.834402084350586,True,369,58631,0.4999999403953552
192,5150:192,command_post,physical,pos,no,physical,-12.995689838645276,-3.7541561126708984,False,1597,75653,0.8696052432060242
193,5150:193,windy_ridge,physical,pos,yes,physical,-11.976910528647423,4.935360908508301,False,14085,10791,0.863656222820282
194,5150:194,command_post,physical,pos,no,physical,-13.386840898060669,4.884786128997803,False,12760,42893,0.8489017486572266
195,5150:195,patrol,physical,pos,yes,physical,-15.902528286775656,15.128684997558594,False,13547,2793,0.8661309480667114
196,5150:196,command_post,physical,pos,no,physical,-8.772380876671406,24.419057846069336,False,12473,2135,0.5913185477256775
197,5150:197,command_post,physical,pos,no,physical,-9.872387924543816,23.324071884155273,False,13152,4456,0.7414944171905518
198,5150:198,firefight,physical,pos,no,physical,-12.20586332876273,22.210773468017578,True,25145,2767,0.820895254611969
199,5150:199,command_post,physical,pos,no,physical,-13.294925801870853,9.485296249389648,False,2864,58621,0.7683121562004089
