system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text,category,noise_source,impulse_source
raw,0024,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_24758327,-6.631805896759033,-6.434776782989502,0.8919903590360597,1.3436552286148071,1.9215057842355363,1.5310245046721025,1.3346172348941336,nan,,siren,esc50:siren/3-62878-B-42,
raw,0025,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_24758348,-5.7601637840271,-6.073726654052734,0.9336368370273269,1.2849478721618652,1.1613386581717415,1.1353160219026555,1.100227236294647,nan,,siren,esc50:siren/3-62878-A-42,
raw,0026,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_24359435,-4.403374671936035,-3.834104537963867,0.8926723360204794,1.2449532747268677,2.1760056615909944,2.2092474600549004,1.742243952242097,nan,,siren,esc50:siren/3-62878-A-42,
raw,0027,siren_0,changing,0.0,True,False,,,cvhi:common_voice_hi_25149665,-4.690337657928467,-4.974183559417725,0.8864502400756857,1.0373458862304688,1.1393710362527192,1.0582029294813322,1.0842375526203891,nan,,siren,esc50:siren/3-62878-A-42,
raw,0028,siren_0,changing,0.0,False,False,,,ls:1926-147987-0027,-0.5210053324699402,-0.8206871151924133,0.8937548910402731,1.1063083410263062,2.833561527449331,1.332198295370828,1.5646788794644053,nan,,siren,esc50:siren/3-62878-A-42,
raw,0029,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_26088236,-4.267035007476807,-3.959510326385498,0.8549526662674525,1.0332905054092407,3.4471171931058975,2.240033053674884,2.2986477757664328,nan,,siren,esc50:siren/3-62878-B-42,
raw,0030,siren_0,changing,0.0,False,False,,,ls:2007-149877-0018,-1.0991336107254028,-1.1655570268630981,0.8529234089145638,1.1439731121063232,1.1965364092773396,1.0805608438074068,1.1050394556145597,nan,,siren,esc50:siren/3-62878-A-42,
raw,0031,siren_0,changing,0.0,True,False,,,ls:1926-147987-0010,-0.6314284801483154,-0.4546491801738739,0.8903039524528743,1.1858738660812378,1.1263742906215122,0.9982147881783869,1.0439208002395037,nan,,siren,esc50:siren/3-62878-A-42,
raw,0032,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_26152442,-4.596520900726318,-4.441468238830566,0.9176881499127972,1.161933422088623,3.151163806710605,2.687875349857834,2.247893597955683,nan,,siren,esc50:siren/3-62878-B-42,
raw,0033,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_23833316,-6.910815238952637,-6.396846294403076,0.759129349516175,1.1267147064208984,1.6551097483566477,1.9880583216655168,1.3992820786325229,nan,,siren,esc50:siren/3-62878-B-42,
raw,0034,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_26127972,-5.390545845031738,-5.208625316619873,0.8066430368631851,1.1148725748062134,2.382503146991109,1.4210491455680663,1.530044910837027,nan,,siren,esc50:siren/3-62878-A-42,
raw,0035,siren_0,changing,0.0,False,False,,,cvhi:common_voice_hi_26131990,-1.854444146156311,-2.1422553062438965,0.9046534254314492,1.1363753080368042,3.434518098971665,1.9912362980997667,2.125956849891017,nan,,siren,esc50:siren/3-62878-B-42,
raw,0000,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_26131878,4.3165082931518555,4.3121771812438965,0.9268814167548391,1.3361737728118896,1.5645145401199314,1.7732972368097506,1.382220591660807,nan,,siren,esc50:siren/3-62878-A-42,
raw,0001,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_27749162,7.522749423980713,7.962281227111816,0.8569168362633415,1.3829312324523926,2.8378426962733716,1.8029676388838263,1.7911010285418172,nan,,siren,esc50:siren/3-62878-A-42,
raw,0002,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_27860191,1.3513959646224976,1.7447729110717773,0.9068304383065814,1.6329582929611206,1.2160564803093377,1.2465210902021953,1.1365451382027725,nan,,siren,esc50:siren/3-62878-A-42,
raw,0003,siren_10,changing,10.0,False,False,,,ls:1081-125237-0089,9.24932861328125,9.606243133544922,0.9182156157005047,1.46677565574646,3.5150343852809134,2.053142117343832,2.2787668542369057,nan,,siren,esc50:siren/3-62878-A-42,
raw,0004,siren_10,changing,10.0,False,False,,,ls:1926-147979-0022,8.642828941345215,9.019277572631836,0.9491590555789534,1.5027236938476562,2.243885374736257,1.0710119996021163,1.2769270944791733,nan,,siren,esc50:siren/3-62878-A-42,
raw,0005,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_24038974,7.114556312561035,6.645107269287109,0.8874191411082062,1.2765371799468994,1.1954456629824304,1.1527175543048753,1.1107160391786057,nan,,siren,esc50:siren/3-62878-A-42,
raw,0006,siren_10,changing,10.0,False,False,,,ls:1081-125237-0061,9.640202522277832,9.224285125732422,0.9401221974933924,1.8040237426757812,3.509671296566821,1.8459445320609642,2.090272317601557,nan,,siren,esc50:siren/3-62878-B-42,
raw,0007,siren_10,changing,10.0,False,False,,,ls:2007-132570-0005,8.096968650817871,8.297846794128418,0.9763806021210508,1.821791648864746,3.5897795494670266,2.9764249396068716,2.7062782354417547,nan,,siren,esc50:siren/3-62878-B-42,
raw,0008,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_27749267,6.071066379547119,6.255768775939941,0.8961240483117167,1.375458836555481,3.108365236972942,2.256744726299647,2.018010748848145,nan,,siren,esc50:siren/3-62878-B-42,
raw,0009,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_24359405,5.087142467498779,5.130171298980713,0.9354410108047057,1.8062082529067993,3.5379235792361445,2.735967469244203,2.5577855180782185,nan,,siren,esc50:siren/3-62878-B-42,
raw,0010,siren_10,changing,10.0,False,False,,,ls:2007-132570-0046,8.609696388244629,8.887473106384277,0.9661033374573933,1.9139314889907837,3.2605060678100855,1.8480891081879,1.9308001953103924,nan,,siren,esc50:siren/3-62878-B-42,
raw,0011,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_26131828,4.355546474456787,3.9864048957824707,0.9628768538954372,1.3749481439590454,2.6487706321120674,2.803629194752326,2.1793335291886833,nan,,siren,esc50:siren/3-62878-A-42,
raw,0012,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_24359463,6.671126365661621,6.413078784942627,0.983247815780391,2.2886786460876465,3.520110904952268,2.431094436991225,2.40372598088052,nan,,siren,esc50:siren/3-62878-B-42,
raw,0013,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_27761568,8.307055473327637,7.874295234680176,0.8280473556968668,1.3001201152801514,2.1870664778509363,1.6796689973822436,1.5604375001298043,nan,,siren,esc50:siren/3-62878-A-42,
raw,0014,siren_10,changing,10.0,True,False,,,cvhi:common_voice_hi_27592071,7.6257758140563965,7.60683536529541,0.9231913323085975,1.536679983139038,3.536521144428479,2.9613096806241708,2.6332005903591216,nan,,siren,esc50:siren/3-62878-A-42,
raw,0015,siren_10,changing,10.0,False,False,,,ls:1081-125237-0023,9.260856628417969,9.908315658569336,0.9615734431259416,1.839629054069519,3.711035165568825,2.4166108689871466,2.506620501290244,nan,,siren,esc50:siren/3-62878-B-42,
raw,0016,siren_10,changing,10.0,False,False,,,ls:1081-125237-0075,9.168533325195312,9.478012084960938,0.9571776251432346,1.8737776279449463,3.6250296111061266,2.887268204734312,2.698972953335887,nan,,siren,esc50:siren/3-62878-B-42,
raw,0017,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_24758566,5.2541069984436035,5.66811466217041,0.9691112988867027,1.64207124710083,3.58129093864515,2.7504207067299324,2.5203679035987085,nan,,siren,esc50:siren/3-62878-A-42,
raw,0018,siren_10,changing,10.0,False,False,,,ls:1926-147987-0017,8.220926284790039,7.964552879333496,0.9097628682528853,1.4080299139022827,3.099810473084254,2.199948086444176,2.1692022970076317,nan,,siren,esc50:siren/3-62878-A-42,
raw,0019,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_25188825,9.783578872680664,9.580995559692383,0.9568923955825016,2.028204917907715,3.1721353602993276,1.5485728132384529,1.7065917243734026,nan,,siren,esc50:siren/3-62878-B-42,
raw,0020,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_26131167,4.627344131469727,4.231228828430176,0.8889233888783611,1.4176499843597412,1.5664641975258886,0.9406460652816659,1.1136856826591395,nan,,siren,esc50:siren/3-62878-A-42,
raw,0021,siren_10,changing,10.0,False,False,,,cvhi:common_voice_hi_26151891,7.3706865310668945,7.816967487335205,0.8711691035352653,1.3227699995040894,3.4242372686332043,1.617149753106162,1.9759848274789882,nan,,siren,esc50:siren/3-62878-A-42,
raw,0022,siren_10,changing,10.0,False,False,,,ls:2007-149877-0037,9.444869995117188,9.104987144470215,0.8986713147256876,1.3276078701019287,2.9830405740406714,1.7461455848672058,1.7999989367130809,nan,,siren,esc50:siren/3-62878-A-42,
