i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
152,55:152,windy_ridge,physical,pos,yes,physical,-8.595232070602883,-9.036734580993652,False,8673,10228,0.7505601048469543
153,55:153,helicopter,mono,neg,yes,-6..+3,0.0,-17.491802215576172,True,147,72257,0.5
154,55:154,command_post,physical,pos,no,physical,-12.627392253053799,21.583147048950195,False,16577,2796,0.7943177223205566
155,55:155,apc,physical,none,no,physical,-15.4450009909501,2.567610263824463,True,13943,5851,0.925362765789032
156,55:156,firefight,physical,pos,no,physical,-8.84257594679643,10.708388328552246,False,11450,30972,0.7264701724052429
157,55:157,command_post,physical,pos,no,physical,-14.556096609146849,4.945253372192383,False,11335,20256,0.884945273399353
158,55:158,command_post,physical,none,no,physical,-9.364859265475737,-2.6307055950164795,False,11484,31302,0.8479182720184326
159,55:159,patrol,physical,neg,no,physical,-15.748358980861049,19.94452667236328,False,18891,5455,0.9724154472351074
160,55:160,drone,physical,none,no,physical,-13.532107591109934,20.25811004638672,False,11376,2203,0.7406614422798157
161,55:161,command_post,physical,pos,no,physical,-16.691591510268978,11.703139305114746,False,5594,38707,0.7964677810668945
162,55:162,windy_ridge,low_ild,neg,yes,-6..+3,-4.185748357877657,9.749845504760742,False,16414,4912,0.6527011394500732
163,55:163,command_post,physical,none,no,physical,-15.190114872762685,4.574094772338867,False,7715,19621,0.9061548709869385
164,55:164,windy_ridge,physical,pos,yes,physical,-16.719554045730234,-4.79386568069458,False,7859,8487,0.8859543204307556
165,55:165,command_post,physical,pos,no,physical,-11.432180146086118,4.29079008102417,False,2156,64037,0.7410963177680969
166,55:166,patrol,mono,neg,no,-6..+3,0.0,22.40912628173828,False,22270,5322,0.5000000596046448
167,55:167,artillery,physical,pos,no,physical,-19.272820928221737,28.539085388183594,False,14684,1864,0.8987245559692383
168,55:168,apc,physical,pos,no,physical,-16.333224334228753,-4.2837724685668945,True,1684,78509,0.7629734873771667
169,55:169,command_post,low_ild,pos,no,-6..+3,-3.741498653054407,1.0511929988861084,False,2916,62484,0.3037952482700348
170,55:170,artillery,low_ild,none,no,-6..+3,-1.6740583031759506,18.409809112548828,False,14168,11078,0.6842253804206848
